[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/reprlib.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/weakref.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/models/indexes.py first seen with mtime 1640538220.3066494
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/utils/inspect.py first seen with mtime 1640538220.330649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/contrib/admin/templatetags/admin_list.py first seen with mtime 1640538219.9986553
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/utils/connection.py first seen with mtime 1640538220.330649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/migrations/utils.py first seen with mtime 1640538220.3026495
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/io.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/utils/module_loading.py first seen with mtime 1640538220.330649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/sre_compile.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/models/expressions.py first seen with mtime 1640538220.3066494
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/backends/base/validation.py first seen with mtime 1640538220.2946496
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1640538220.3066494
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/checks/files.py first seen with mtime 1640538220.2866497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/migrations/operations/special.py first seen with mtime 1640538220.3026495
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/contrib/auth/validators.py first seen with mtime 1640538220.0306547
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/rest_framework/serializers.py first seen with mtime 1640548651.070768
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/asyncio/trsock.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/asyncio/tasks.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/signal.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/checks/database.py first seen with mtime 1640538220.2866497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/email/iterators.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/urllib/__init__.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/keyword.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/urls/exceptions.py first seen with mtime 1640538220.326649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1640538220.2346509
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/contrib/contenttypes/checks.py first seen with mtime 1640538220.058654
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/http/__init__.py first seen with mtime 1640538220.322649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/templatetags/i18n.py first seen with mtime 1640538220.326649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/contrib/admin/options.py first seen with mtime 1640538219.8946574
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1640538220.2826498
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/__init__.py first seen with mtime 1640538219.8346584
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/utils/termcolors.py first seen with mtime 1640538220.3346488
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/pickle.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/unittest/loader.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/backends/sqlite3/creation.py first seen with mtime 1640538220.3026495
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/contrib/auth/forms.py first seen with mtime 1640538220.0266547
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/management/color.py first seen with mtime 1640538220.2906497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/contextvars.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/pytz/__init__.py first seen with mtime 1640548651.1067674
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/template/base.py first seen with mtime 1640538220.322649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/template/__init__.py first seen with mtime 1640538220.322649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/utils/dates.py first seen with mtime 1640538220.330649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/contrib/admin/views/decorators.py first seen with mtime 1640538219.9986553
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/management/commands/__init__.py first seen with mtime 1640538220.2906497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/template/library.py first seen with mtime 1640538220.322649
